Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
165,6640,232,377.2,89.2206,186,66,1.87728,283.169,119.156,285.331,53.1917,471.231,59.2848,469.069,125.249
166,6680,232,388.266,94.2245,186,66,1.88799,294.229,124.143,296.404,58.1785,482.303,64.3064,480.128,130.271
167,6720,230,391.525,95.628,186,66,2.07667,297.39,125.236,299.781,59.2797,485.659,66.0197,483.268,131.976
168,6760,225,394.785,96.9749,186,66,2.03204,300.673,126.657,303.013,60.698,488.896,67.2933,486.556,133.252
169,6800,225,394.385,96.9834,186,66,2.20256,300.185,126.385,302.721,60.4335,488.584,67.582,486.048,133.533
170,6840,231,390.326,98.6744,186,66,2.18478,296.136,128.105,298.652,62.153,484.517,69.2438,482,135.196
171,6880,231,390.593,101.008,186,66,2.26278,296.363,130.311,298.969,64.3622,484.824,71.706,482.218,137.655
172,6920,229,391.233,102.716,186,66,1.70282,297.293,132.938,299.254,66.9674,485.172,72.4944,483.211,138.465
173,6960,226,392.428,102.772,186,66,1.8727,298.399,132.715,300.556,66.7502,486.456,72.8285,484.3,138.793
174,7000,226,392.057,102.908,186,66,1.62216,298.16,133.262,300.028,67.2888,485.953,72.5542,484.085,138.528
175,7040,228,390.071,103.534,186,66,1.55436,296.21,133.999,298,68.0234,483.932,73.0687,482.142,139.044
176,7080,231,386.664,104.102,186,66,1.63848,292.758,134.43,294.645,68.4567,480.569,73.775,478.682,139.748
177,7120,230,386.845,104.633,186,66,1.35352,293.091,135.427,294.65,69.4451,480.599,73.8386,479.039,139.82
178,7160,228,387.756,104.571,186,66,1.6543,293.842,134.873,295.748,68.9001,481.67,74.2697,479.765,140.242
179,7200,228,388.079,104.614,186,66,1.53996,294.226,135.103,296,69.1266,481.933,74.1252,480.159,140.101
180,7240,228,388.463,104.832,186,66,1.50305,294.63,135.381,296.361,69.4039,482.297,74.2827,480.565,140.26
181,7280,227,384.524,105.866,186,66,1.1747,290.867,136.953,292.22,70.9666,478.181,74.7798,476.828,140.766
182,7320,225,381.061,104.882,186,66,0.928533,287.539,136.371,288.608,70.3794,474.584,73.3936,473.514,139.385
183,7360,224,379.304,101.395,186,66,1.02502,285.729,132.726,286.909,66.7366,472.879,70.0639,471.699,136.053
184,7400,224,379.237,101.417,186,66,0.930176,285.713,132.903,286.785,66.9119,472.76,69.9314,471.689,135.923
185,7440,228,377.76,100.302,186,66,1.02867,284.182,131.627,285.367,65.6375,471.337,68.9767,470.152,134.966
186,7480,232,373.793,100.182,186,66,0.765896,280.36,131.936,281.242,65.9417,467.225,68.428,466.343,134.422
187,7520,227,373.421,100.029,186,66,0.609792,280.075,132.037,280.777,66.0407,466.767,68.0203,466.064,134.017
188,7560,232,373.816,98.9905,186,66,0.920002,280.298,130.493,281.358,64.5015,467.334,67.4879,466.274,133.479
189,7600,231,373.348,99.0517,186,66,0.839649,279.874,130.685,280.841,64.6924,466.821,67.418,465.854,133.411
190,7640,232,373.887,98.5235,186,66,0.962701,280.346,129.956,281.455,63.9656,467.428,67.0907,466.32,133.081
191,7680,231,373.749,98.783,186,66,0.551111,280.436,130.887,281.071,64.89,467.063,66.6791,466.428,132.676
192,7720,224,374.164,98.4502,186,66,0.745051,280.743,130.238,281.601,64.2437,467.586,66.6623,466.727,132.657
